Nominal CL_scaled,Nominal AK_scaled,Nominal TF_scaled,Nominal TO_scaled,Total_Mutasi_scaled,Selisih_Final_scaled,Jumlah_Titik_Mutasi,Hari,Hari_dalam_Minggu,Akhir_Pekan,Is_Outlier_Nominal,Jenis_Bayar_Encoded,Akun_Closing_Encoded
-0.22862631817542833,-0.1596441080613707,-0.17726053497137864,-0.38434151536826466,-0.21445951443582034,0.09271566427881912,1,25,0,0,0,4,1
-0.0826155053971627,-0.35964744345853156,-0.17726053497137864,3.2257321588632104,-0.13872480978088475,0.09271566427881912,1,5,1,0,0,9,0
-0.22783631696052364,-0.15891612247058776,-0.17726053497137864,-0.38434151536826466,-0.21404974677855304,0.09271566427881912,1,8,4,0,0,9,0
-0.22783631696052364,-0.15891612247058776,0.014303803376178868,-0.38434151536826466,-0.1010623412820506,-0.01655104579789602,2,25,0,0,0,9,2
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,1.7817026891706205,-0.21404974677855304,0.09271566427881912,1,6,2,0,0,9,0
-0.10573465859804976,-0.04639952601281232,0.12168200049792977,-0.38434151536826466,0.025604072773228383,-0.07779867901956408,2,25,0,0,0,9,2
-0.22783631696052364,-0.15891612247058776,0.014303803376178868,-0.38434151536826466,-0.1010623412820506,-0.01655104579789602,2,2,5,1,0,9,0
0.06553876655977815,0.11140205645984325,-0.17726053497137864,-0.38434151536826466,-0.061893374043263095,0.09273023317349602,1,1,4,0,0,9,0
-0.23903284153205878,-0.16895268851998493,-0.17726053497137864,-0.38434151536826466,-0.21969911705337816,0.09256269088471172,1,22,4,0,0,9,0
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.20198237435553423,0,11,0,0,0,9,0
-0.4456675343055651,12.714049064717774,-0.17726053497137864,-0.38434151536826466,7.031869476931276,-7.023860856809597,1,26,1,0,1,8,7
-0.013027144704115756,0.039138780904183476,-0.17726053497137864,-0.38434151536826466,-0.10256884002200398,0.09265666025537769,1,4,0,0,0,9,0
0.3372207652487451,0.3617836005897517,0.5112242512409211,-0.38434151536826466,0.48511933143128394,-0.2999903486263628,2,21,3,0,1,9,2
-0.21245017197538554,-0.1448649300014317,-0.17726053497137864,-0.38434151536826466,-0.20614062839379785,0.09278486652853438,1,21,3,0,0,9,0
-0.0826155053971627,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.274826847740011,0,15,4,0,0,9,0
-0.0826155053971627,-0.35964744345853156,-0.17726053497137864,3.2257321588632104,-0.13872480978088475,0.09271566427881912,1,8,4,0,0,9,0
-0.0826155053971627,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.274826847740011,0,13,2,0,0,9,0
-0.07058105674290698,-0.013720466955975062,-0.17726053497137864,-0.38434151536826466,-0.13232219013608293,0.09256050555051018,1,21,3,0,0,9,0
-0.255116046412701,-0.1843420897957273,-0.17726053497137864,-0.38434151536826466,-0.22836148480811,0.09287227989659574,1,18,0,0,0,9,0
-0.14927185790474537,-0.08665284691492799,-0.17726053497137864,-0.38434151536826466,-0.17337428079981215,0.0927885087522036,1,25,0,0,0,9,0
-0.22783631696052364,-0.15891612247058776,-0.17726053497137864,-0.38434151536826466,-0.21404974677855304,0.09271566427881912,1,30,5,1,0,9,0
-0.4456675343055651,-0.35964744345853156,-0.10063479963235564,-0.38434151536826466,-0.2818421900764545,0.04900898024813306,1,5,1,0,0,7,7
0.2822096696204283,0.3110909127874563,0.46284659323462884,-0.38434151536826466,0.4280516526631105,-0.27239613366358917,2,11,0,0,1,9,2
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,1.7817026891706205,-0.21404974677855304,0.09271566427881912,1,8,4,0,0,9,0
-0.0826155053971627,-0.35964744345853156,-0.17726053497137864,3.2257321588632104,-0.13872480978088475,0.09271566427881912,1,7,3,0,0,9,0
-0.21331423580418754,-0.14553403440472484,-0.17726053497137864,-0.38434151536826466,-0.2065172530787862,0.09271566427881912,1,19,1,0,0,9,0
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,1.7817026891706205,-0.21404974677855304,0.09271566427881912,1,22,4,0,0,9,0
